 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Rwanda,183.8,170.2,154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
Samoa,21.7,21,20.4,20,19.6,19.3,19.1,18.9,18.8,24.1,18.7,18.6,18.5,18.2,17.9,17.5
San Marino,5.5,5.2,4.9,4.6,4.4,4.2,4,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9
Sao Tome and Principe,89.3,85.4,81.5,77.6,73.7,70.1,66.7,63.6,61,58.5,56.4,54.4,52.4,50.8,49,47.3
Saudi Arabia,22.9,22,21.3,20.7,20.1,19.7,19.2,18.7,18.1,17.6,17,16.5,16,15.5,15,14.5
Senegal,134.9,128.4,120.7,112.5,104.2,96.2,88.8,82,75.8,70.1,64.8,60,55.9,52.5,49.7,47.2
Serbia,12.6,12.2,11.6,10.6,9.6,8.9,8.4,8.1,8,7.8,7.6,7.3,7.1,6.9,6.8,6.7
Seychelles,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14,13.8,13.6
Sierra Leone,235.8,229.9,223.9,217.4,210.8,203.7,196.2,188,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4
Singapore,4,3.7,3.4,3.2,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
Slovakia,11.7,11.3,10.9,10.6,10.2,9.9,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.7,7.5,7.3
Slovenia,5.5,5.2,5,4.7,4.5,4.3,4,3.8,3.6,3.5,3.3,3.1,3,2.8,2.7,2.6
Solomon Islands,33.1,32.9,32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1
Somalia,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
South Africa,75.3,77.1,78.1,78.1,76.8,75.2,73.1,71.3,68.4,63.5,53.8,49.8,47.7,43.4,41.4,40.5
South Sudan,182.3,173,163.8,155.2,147,139.3,132.1,125.7,120,115.2,110.9,106.7,102.8,99.2,95.6,92.6
Spain,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1
Sri Lanka,16.3,15.8,15.4,15.1,28.9,14,13.2,12.5,11.8,11.3,10.9,10.6,10.4,10.2,10,9.8
St. Kitts and Nevis,18.6,17.8,17.1,16.4,15.8,15.2,14.6,14,13.5,13,12.5,12.1,11.7,11.3,10.9,10.5
St. Lucia,17.8,17.6,17.4,17.3,17.2,17.1,17,16.8,16.6,16.3,16.1,15.8,15.4,15.1,14.7,14.3
St. Vincent and the Grenadines,22.2,22.1,22,21.9,21.8,21.8,21.7,21.6,21.4,21.1,20.8,20.3,19.8,19.3,18.8,18.3
Sudan,105.9,103.1,100.2,97.3,94.5,91.9,89.3,87,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1
Suriname,34.4,33.3,32.1,31.1,30.1,29.2,28.3,27.4,26.4,25.6,24.9,24.1,23.4,22.6,21.9,21.3
Swaziland,128.3,131.6,133.1,133.7,132.7,130.2,122.7,117.2,113.8,104.2,88.4,79.1,72.6,67.6,62.6,60.7
Sweden,4.1,4.1,4,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3
Switzerland,5.6,5.6,5.5,5.3,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4,3.9
Syria,23.4,22.3,21.4,20.5,19.6,18.8,18,17.3,16.5,15.9,15.3,15,16,15.3,14.3,12.9
Tajikistan,93,86.6,80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8
Tanzania,130.6,122.6,114.7,106.9,99.4,92.4,85.8,79.5,73.7,68.6,63.4,58.9,55.7,53.3,50.5,48.7
Thailand,22.5,21.5,20.5,19.6,18.7,17.8,17,16.3,15.6,15,14.5,14,13.5,13.1,12.6,12.3
Timor-Leste,110.2,104.6,99.1,93.7,88.4,83.3,78.5,74.1,70.2,66.7,63.8,61.1,58.7,56.5,54.5,52.6
Togo,120.8,117.6,114.4,111.2,108.1,105.1,102.1,99.2,96.4,93.6,90.9,88.3,85.8,83.3,80.8,78.4
Tonga,17.6,17.3,17,16.8,16.7,16.7,16.7,16.8,17,17.2,17.4,17.5,17.5,17.3,17.1,16.7
Trinidad and Tobago,28.7,28.6,28.3,28,27.5,26.9,26.3,25.6,24.9,24.3,23.6,22.9,22.2,21.5,20.9,20.4
Tunisia,31.7,29.6,27.8,26,24.5,23,21.7,20.5,19.4,18.3,17.4,16.5,15.8,15.2,14.6,14
Turkey,39.6,36.9,34.4,32,29.7,27.7,25.7,23.9,22.2,20.6,19.1,17.8,16.5,15.4,14.3,13.5
Turkmenistan,81.6,79.2,76.9,74.7,72.4,70.1,68,66,63.9,61.9,60.1,58.2,56.5,54.7,53.1,51.4
Tuvalu,42.6,41.1,39.8,38.7,37.6,36.6,35.6,34.6,33.6,32.6,31.7,30.7,29.8,28.9,28,27.1
Uganda,148.4,141,132.8,124.2,115.6,107.4,99.7,92.5,85.9,80.1,75.2,69.8,64.1,60.3,56.9,54.6
Ukraine,18.5,17.6,16.7,15.9,15.1,14.5,14,13.4,12.9,12.3,11.8,11.2,10.6,10,9.5,9
United Arab Emirates,11.1,10.9,10.6,10.3,10.1,9.8,9.6,9.4,9.1,8.8,8.5,8.2,7.8,7.4,7.1,6.8
United Kingdom,6.6,6.4,6.3,6.3,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2
United States of America,8.4,8.3,8.2,8.1,8.1,8,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
Uruguay,16.8,16.2,15.8,15.3,14.8,14.3,13.8,13.3,13,12.7,12.3,12,11.6,11.1,10.6,10.1
Uzbekistan,63.2,61.4,59.6,57.8,56,54.2,52.5,50.8,49.2,47.6,46.1,44.6,43.2,41.8,40.4,39.1
Vanuatu,28.5,28.2,27.9,27.9,27.9,27.9,28,28.2,28.2,28.4,28.5,28.6,28.6,28.4,28.1,27.5
Venezuela,21.7,21,20.4,19.8,19.2,18.5,17.9,17.4,17.1,16.8,16.6,16.4,16.1,15.7,15.3,14.9
Vietnam,33.8,32.5,31.4,30.4,29.4,28.5,27.7,26.9,26.2,25.5,24.8,24.2,23.5,22.9,22.3,21.7
West Bank and Gaza,29.8,28.9,28.2,27.5,26.9,26.3,25.8,25.2,24.7,24.2,23.8,23.3,22.8,22.3,21.7,21.1
Yemen,95.4,90.7,85.9,81.3,76.8,72.6,68.5,64.7,61,57.6,54.2,51.1,48.4,46,43.8,41.9
Zambia,163.1,154.2,142.9,131.2,120.6,111.7,104.5,98,93.1,87.4,82.1,78.6,74.4,70.2,66.6,64
Zimbabwe,105.8,105.6,105.1,104,103,101.9,100,98,95.4,92.9,89.5,85.6,78.5,74.5,72.3,70.7
